;PLAYER;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-
110;Willie Cauley-Stein;SAC;24;73;23;50;28.0;12.8;5.3;10.6;50.2;0.0;0.2;25.0;2.1;3.4;61.9;1.8;5.2;7.0;2.4;1.5;1.1;0.9;2.5;29.1;12;0;-4.4
111;Myles Turner;IND;22;65;39;26;28.2;12.7;4.7;9.8;47.9;0.9;2.4;35.7;2.5;3.2;77.7;1.4;5.0;6.4;1.3;1.5;0.6;1.8;2.9;28.2;11;0;1.8
112;Wesley Matthews;DAL;31;63;20;43;33.8;12.7;4.5;11.1;40.6;2.4;6.4;38.1;1.3;1.6;82.2;0.4;2.7;3.1;2.7;1.3;1.2;0.3;2.2;23.7;0;0;-5.1
113;Jonas Valanciunas;TOR;26;77;56;21;22.4;12.7;5.1;8.9;56.8;0.4;1.0;40.5;2.2;2.7;80.6;2.4;6.2;8.6;1.1;1.5;0.4;0.9;2.5;26.9;26;0;2.9
114;Elfrid Payton;PHX;24;63;13;50;28.7;12.7;5.2;10.6;49.3;0.5;1.5;32.6;1.7;2.7;64.9;1.0;3.3;4.3;6.2;2.7;1.3;0.3;2.3;29.6;8;2;-7.3
115;Serge Ibaka;TOR;28;76;53;23;27.5;12.6;5.0;10.3;48.3;1.4;3.9;36.0;1.2;1.6;79.7;1.0;5.3;6.3;0.8;1.2;0.4;1.3;2.8;25.3;8;0;4.0
116;Jabari Parker;MIL;23;31;16;15;24.0;12.6;5.2;10.7;48.2;1.0;2.6;38.3;1.3;1.7;74.1;1.4;3.5;4.9;1.9;1.5;0.8;0.3;1.6;23.2;3;0;-2.1
117;Robert Covington;PHI;27;80;51;29;31.6;12.6;4.3;10.5;41.3;2.5;6.9;36.9;1.5;1.7;85.3;0.7;4.7;5.4;2.0;1.6;1.7;0.9;3.0;28.3;7;0;6.6
118;Spencer Dinwiddie;BKN;25;80;28;52;28.8;12.6;4.1;10.5;38.7;1.8;5.4;32.6;2.7;3.4;81.3;0.5;2.7;3.2;6.6;1.6;0.9;0.3;2.3;28.1;7;0;-1.2
119;E'Twaun Moore;NOP;29;82;48;34;31.5;12.5;5.2;10.1;50.8;1.6;3.7;42.5;0.6;0.8;70.6;0.7;2.2;2.9;2.3;1.2;1.0;0.1;2.2;21.5;0;0;1.8
120;Darren Collison;IND;30;69;39;30;29.3;12.4;4.6;9.2;49.5;1.4;3.0;46.8;1.8;2.1;88.2;0.5;2.0;2.6;5.3;1.2;1.3;0.2;1.8;26.9;6;0;1.9
121;Derrick Favors;UTA;26;77;46;31;28.0;12.3;5.1;9.1;56.3;0.2;0.8;22.2;1.8;2.8;65.1;2.6;4.6;7.2;1.3;1.1;0.7;1.1;2.1;27.0;15;0;1.9
122;Taj Gibson;MIN;33;82;47;35;33.2;12.2;5.2;9.0;57.7;0.1;0.4;20.0;1.7;2.3;76.8;2.4;4.8;7.1;1.2;1.1;0.8;0.7;2.7;25.9;18;0;2.9
123;Patrick Beverley;LAC;29;11;5;6;30.3;12.2;4.4;10.8;40.3;2.2;5.5;40.0;1.3;1.5;82.4;1.5;2.6;4.1;2.9;2.3;1.7;0.5;3.1;25.7;0;0;2.3
124;Justin Holiday;CHI;29;72;24;48;31.5;12.2;4.0;10.9;37.1;2.2;6.2;35.9;1.9;2.3;82.3;0.4;3.6;4.0;2.1;1.3;1.1;0.4;1.9;23.5;2;0;-2.5
125;Marco Belinelli;PHI;32;80;39;41;24.3;12.1;4.2;9.6;44.1;1.9;4.9;37.7;1.9;2.0;90.8;0.3;1.6;1.9;1.9;1.2;0.8;0.2;1.1;18.9;0;0;-0.4
126;Gerald Green;HOU;32;41;33;8;22.7;12.1;4.1;10.1;40.7;2.7;7.3;36.9;1.2;1.5;85.0;0.4;2.9;3.2;0.6;0.8;0.6;0.4;2.1;19.0;0;0;2.3
127;Caris LeVert;BKN;23;71;25;46;26.2;12.1;4.5;10.4;43.5;1.2;3.5;34.7;1.9;2.6;71.1;0.7;2.9;3.7;4.2;2.2;1.2;0.3;2.2;25.0;3;0;-3.7
128;DeAndre Jordan;LAC;29;77;39;38;31.5;12.0;4.8;7.5;64.5;0.0;0.0;0.0;2.4;4.1;58.0;4.3;10.9;15.2;1.5;1.8;0.5;0.9;2.6;35.0;46;0;-1.7
128;Dirk Nowitzki;DAL;40;77;24;53;24.7;12.0;4.5;9.8;45.6;1.8;4.4;40.9;1.3;1.4;89.8;0.3;5.4;5.7;1.6;0.7;0.6;0.6;1.9;24.0;5;0;-0.7
130;Courtney Lee;NYK;32;76;27;49;30.4;12.0;4.5;9.9;45.4;1.5;3.7;40.6;1.5;1.6;91.9;0.4;2.6;2.9;2.4;1.1;1.1;0.2;1.4;21.8;1;0;-3.4
131;Andre Ingram;LAL;32;2;1;1;32.1;12.0;4.0;8.5;47.1;2.5;4.5;55.6;1.5;1.5;100;0.5;2.5;3.0;3.5;1.5;1.5;1.5;1.5;28.4;0;0;10.0
132;Robin Lopez;CHI;30;64;23;41;26.4;11.8;5.3;10.1;53.0;0.1;0.2;28.6;1.1;1.4;75.6;2.1;2.4;4.5;1.9;1.7;0.2;0.8;1.7;21.6;3;0;-3.1
133;Thaddeus Young;IND;30;81;48;33;32.2;11.8;5.2;10.7;48.7;0.7;2.2;32.0;0.7;1.1;59.8;2.3;4.0;6.3;1.9;1.3;1.7;0.4;2.2;27.2;9;0;2.6
134;Kelly Oubre Jr.;WAS;22;81;43;38;27.5;11.8;3.9;9.8;40.3;1.6;4.6;34.1;2.4;2.9;82.0;0.7;3.8;4.5;1.2;1.1;1.0;0.4;2.9;22.1;0;0;-1.4
135;Bogdan Bogdanovic;SAC;25;78;26;52;27.9;11.8;4.4;9.9;44.6;1.7;4.2;39.2;1.3;1.5;84.0;0.4;2.5;2.9;3.3;1.6;0.9;0.2;2.2;21.9;0;0;-4.6
