PLAYER;GP;MIN;PTS;FG%;3PM;3P%;FT%;REB;AST;TOV;STL;BLK;DD2;TD3;POSITION
Draymond Green;70;32.7;11.0;45.4;1.1;30.1;77.5;7.6;7.3;2.9;1.4;1.3;23;3;F
Montrezl Harrell;76;17.0;11.0;63.5;0.0;14.3;62.6;4.0;1.0;0.9;0.5;0.7;0;0;F
Dillon Brooks;82;28.7;11.0;44.0;1.1;35.6;74.7;3.1;1.6;1.5;0.9;0.2;0;0;F
Ersan Ilyasova;69;25.1;10.9;45.2;1.3;36.0;77.8;5.9;1.3;1.0;0.9;0.4;7;0;F
Jeff Green;78;23.4;10.8;47.7;0.7;31.2;86.8;3.2;1.3;1.0;0.5;0.4;1;0;F
Joe Harris;78;25.3;10.8;49.1;1.9;41.9;82.7;3.3;1.6;1.2;0.4;0.3;2;0;F
James Johnson;73;26.6;10.8;50.3;0.8;30.8;69.8;4.9;3.8;1.9;1.0;0.7;6;0;F
John Collins;74;24.1;10.5;57.6;0.2;34.0;71.5;7.3;1.3;1.4;0.6;1.1;11;0;F
JaMychal Green;55;28.0;10.3;45.7;0.8;33.9;72.1;8.4;1.4;1.4;0.6;0.5;16;0;F
Greg Monroe;51;20.4;10.3;56.5;0.0;0.0;73.9;6.9;2.2;1.8;0.9;0.5;9;1;F
Denzel Valentine;77;27.2;10.2;41.7;1.9;38.6;74.5;5.1;3.2;1.3;0.8;0.1;5;0;F
CJ Miles;70;19.1;10.0;37.9;2.3;36.1;83.5;2.2;0.8;0.6;0.5;0.3;0;0;F
Wilson Chandler;74;31.7;10.0;44.5;1.2;35.8;77.2;5.4;2.1;1.2;0.6;0.5;4;0;F
Trey Lyles;73;19.1;9.9;49.1;1.1;38.1;70.6;4.8;1.2;0.8;0.4;0.5;6;0;F
Jae Crowder;80;26.1;9.7;40.4;1.4;32.3;81.8;3.4;1.2;0.9;0.8;0.3;0;0;F
Mario Hezonja;75;22.1;9.6;44.2;1.2;33.7;81.9;3.7;1.4;1.1;1.1;0.4;2;0;F
Marvin Williams;78;25.7;9.5;45.8;1.6;41.3;82.9;4.7;1.2;0.8;0.7;0.5;3;0;F
Ryan Anderson;66;26.1;9.3;43.1;2.0;38.6;77.4;5.0;0.9;0.6;0.4;0.3;2;0;F
Al-Farouq Aminu;69;30.0;9.3;39.5;1.8;36.9;73.8;7.6;1.2;1.1;1.1;0.6;9;0;F
Wayne Selden;35;19.8;9.3;43.1;1.4;40.2;74.6;1.6;1.9;1.5;0.5;0.1;0;0;F
Michael Kidd-Gilchrist;74;25.0;9.2;50.4;0.0;0.0;68.4;4.1;1.0;0.7;0.7;0.4;2;0;F
Anthony Tolliver;79;22.2;8.9;46.4;2.0;43.6;79.7;3.1;1.1;0.7;0.4;0.3;1;0;F
Mike Scott;76;18.5;8.8;52.7;0.9;40.5;65.8;3.3;1.1;1.0;0.3;0.1;0;0;F
Johnathan Motley;11;16.0;8.7;53.3;0.1;16.7;53.6;4.5;0.6;0.8;0.3;0.2;1;0;F
Skal Labissiere;60;20.7;8.7;44.8;0.3;35.3;80.5;4.8;1.2;1.2;0.4;0.8;3;0;F
Terrence Ross;24;25.0;8.7;39.8;1.3;32.3;75.0;3.0;1.6;1.2;1.1;0.5;0;0;F
Larry Nance Jr.;66;21.5;8.7;58.1;0.0;16.7;66.4;6.8;1.2;0.8;1.3;0.6;11;0;F
Stanley Johnson;69;27.4;8.7;37.5;1.0;28.6;77.2;3.7;1.6;1.1;1.4;0.2;2;0;F
Danny Green;70;25.6;8.6;38.7;1.7;36.3;76.9;3.6;1.6;1.1;0.9;1.1;0;0;F
Dwight Powell;79;21.2;8.5;59.3;0.4;33.3;71.9;5.6;1.2;0.7;0.8;0.4;5;0;F
Jerami Grant;81;20.3;8.4;53.5;0.4;29.1;67.5;3.9;0.7;0.7;0.4;1.0;2;0;F
Garrett Temple;65;24.8;8.4;41.8;1.4;39.2;76.9;2.3;1.9;1.2;0.9;0.4;0;0;F
JR Smith;80;28.1;8.3;40.3;1.8;37.5;69.6;2.9;1.8;1.0;0.9;0.1;0;0;F
Evan Turner;79;25.7;8.2;44.7;0.5;31.8;85.0;3.1;2.2;1.3;0.6;0.4;0;0;F
Thabo Sefolosha;38;21.2;8.2;49.2;0.8;38.1;81.5;4.2;0.9;0.8;1.4;0.3;2;0;F
David Nwaba;70;23.5;7.9;47.8;0.3;34.6;65.5;4.7;1.5;1.1;0.8;0.4;3;0;F
Kyle Anderson;74;26.7;7.9;52.7;0.3;33.3;71.2;5.4;2.7;1.3;1.6;0.8;6;0;F
Chandler Parsons;36;19.2;7.9;46.2;1.4;42.1;63.0;2.5;1.9;1.0;0.5;0.3;0;0;F
Justise Winslow;68;24.7;7.8;42.4;0.7;38.0;63.5;5.4;2.2;1.1;0.8;0.5;2;0;F
Doug McDermott;81;21.8;7.8;46.7;1.1;42.6;79.0;2.5;1.0;0.7;0.2;0.2;0;0;F
Darius Miller;82;23.7;7.8;44.4;1.8;41.1;86.6;2.0;1.4;0.7;0.3;0.2;0;0;F
Jarell Martin;73;22.7;7.7;44.6;0.5;34.7;76.7;4.4;1.0;1.2;0.5;0.7;2;0;F
Marreese Speights;52;13.0;7.7;39.5;1.7;36.9;72.7;2.6;0.8;0.8;0.2;0.4;1;0;F
Marquese Chriss;72;21.2;7.7;42.3;0.8;29.5;60.8;5.5;1.2;1.5;0.7;1.0;5;0;F
Mike Muscala;53;20.0;7.6;45.8;1.2;37.1;91.9;4.3;1.0;0.8;0.6;0.5;2;0;F
Luc Mbah a Moute;61;25.6;7.5;48.1;1.0;36.4;68.4;3.0;0.9;1.1;1.2;0.4;0;0;F
Pascal Siakam;81;20.7;7.3;50.8;0.4;22.0;62.1;4.5;2.0;0.8;0.8;0.5;0;0;F
Nick Young;80;17.4;7.3;41.2;1.5;37.7;86.2;1.6;0.5;0.5;0.5;0.1;0;0;F
Tomas Satoransky;73;22.5;7.2;52.3;0.6;46.5;78.1;3.2;3.9;1.1;0.7;0.2;0;0;F
Kyle O'Quinn;77;18.0;7.1;58.3;0.1;23.5;77.2;6.1;2.1;1.3;0.5;1.3;8;0;F
James Ennis III;72;22.3;7.1;47.4;0.7;33.3;83.6;3.1;1.0;0.8;0.7;0.3;1;0;F
Mirza Teletovic;10;15.9;7.1;43.9;2.1;46.7;0.0;2.3;1.0;0.7;0.4;0.1;0;0;F
Mason Plumlee;74;19.5;7.1;60.1;0.0;0.0;45.8;5.4;1.9;1.4;0.7;1.1;3;0;F
Cody Zeller;33;19.0;7.1;54.5;0.1;66.7;71.8;5.4;0.9;1.0;0.4;0.6;1;0;F
